SUMMARY OF RESULTS
================================================================================
Radius    Position            Visible Spawns      Coverage %     
--------------------------------------------------------------------------------
5         (14 , 16 )          72                  12.65          
6         (13 , 20 )          99                  17.40          
7         (14 , 18 )          132                 23.20          
8         (14 , 18 )          159                 27.94          
9         (14 , 19 )          185                 32.51          
10        (14 , 21 )          211                 37.08          
11        (14 , 21 )          235                 41.30          
12        (16 , 23 )          258                 45.34          
13        (18 , 22 )          279                 49.03          
14        (17 , 24 )          301                 52.90          
15        (19 , 21 )          320                 56.24          
16        (19 , 20 )          341                 59.93          
17        (20 , 19 )          361                 63.44          
18        (18 , 28 )          381                 66.96          
19        (19 , 20 )          400                 70.30          
20        (20 , 20 )          412                 72.41          
